         26684135 function calls (26579068 primitive calls) in 110.696 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.037    0.037  114.284  114.284 explore.py:9(<module>)
        1    5.152    5.152  113.850  113.850 {built-in method exec_}
        1    0.040    0.040  108.698  108.698 explore.py:73(start)
    12882    0.967    0.000  108.650    0.008 explore.py:98(plot)
    12881    0.008    0.000  108.104    0.008 {method 'send' of 'generator' objects}
      312   23.133    0.074   68.579    0.220 {processEvents}
    24657    0.168    0.000   43.199    0.002 GraphicsView.py:145(paintEvent)
    24657    3.913    0.000   38.274    0.002 {paintEvent}
    10016    0.545    0.000   36.691    0.004 PlotItem.py:622(plot)
    30986    0.376    0.000   24.558    0.001 AxisItem.py:406(paint)
     4992    3.142    0.001   19.493    0.004 AxisItem.py:623(generateDrawSpecs)
    10015    0.367    0.000   17.268    0.002 PlotItem.py:507(addItem)
    10047    0.126    0.000   16.217    0.002 ViewBox.py:329(addItem)
   390851    2.328    0.000   14.626    0.000 GraphicsObject.py:20(itemChange)
    10016    0.249    0.000   11.974    0.001 PlotDataItem.py:35(__init__)
   100122    0.114    0.000   11.567    0.000 GraphicsItem.py:449(parentChanged)
140120/100122    1.504    0.000   11.453    0.000 GraphicsItem.py:457(_updateView)
   227568    2.436    0.000   10.757    0.000 functions.py:250(mkPen)
    45054    0.775    0.000   10.275    0.000 ViewBox.py:724(updateAutoRange)
   137936    0.417    0.000    8.162    0.000 AxisItem.py:269(pen)
   198444    7.584    0.000    8.147    0.000 functions.py:151(mkColor)
120753/100978    1.489    0.000    7.977    0.000 {method 'emit' of 'PyQt4.QtCore.pyqtBoundSignal' objects}
    30077    0.101    0.000    7.071    0.000 GraphicsItem.py:393(setParentItem)
    45054    1.593    0.000    6.999    0.000 ViewBox.py:1219(childrenBounds)
    10016    0.041    0.000    6.856    0.001 PlotItem.py:608(clear)
    30173    0.447    0.000    6.835    0.000 {setParentItem}
     9984    0.133    0.000    6.815    0.001 PlotItem.py:589(removeItem)
     9984    0.066    0.000    6.435    0.001 ViewBox.py:345(removeItem)
   235224    1.117    0.000    5.925    0.000 GraphicsItem.py:81(getViewBox)
    10016    0.524    0.000    5.356    0.001 {built-in method removeItem}
    98510    1.030    0.000    5.236    0.000 PlotCurveItem.py:153(boundingRect)
    24657    0.061    0.000    4.538    0.000 GraphicsScene.py:122(prepareForPaint)
    10015    0.295    0.000    4.440    0.000 PlotDataItem.py:330(setData)
    24657    0.135    0.000    4.343    0.000 ViewBox.py:240(prepareForPaint)
    69726    0.619    0.000    4.224    0.000 GraphicsItem.py:183(pixelVectors)
   473811    2.824    0.000    4.078    0.000 Point.py:21(__init__)
90137/50107    0.261    0.000    4.019    0.000 GraphicsItem.py:514(_replaceView)
     4992    0.559    0.000    3.105    0.001 AxisItem.py:518(tickValues)
    10016    0.233    0.000    3.099    0.000 ScatterPlotItem.py:218(__init__)
